"Category","SubCategory","EndPointUri","Method","Function","Status","Notes","ParameterIn","ParameterName","ParameterReq","ParameterType","ParameterFormat","ParameterEnum","ParameterEnumCount","ParameterDefault","ParameterNullable","ParameterMinimum","ParameterMaximum","ParameterDescription","ParameterItems","ApiTitle","ApiVersion","SchemaVersion","Tag","EndpointFullPath","EndpointCount","MethodCount","ParameterCount","Description"
"Accounts","Get Accounts","/accounts","GET",,,,"query","updatedAt","False","string",,,"0",,,,,"Timestamp of last update. Example: ""2018-02-27T04:49:26.257525Z"".",,"S1 MGMT API","2.1","2.0","Accounts","/web/api/v2.1/accounts","451",,"4520","Get the Accounts, and their data, that match the filter. This command gives the Account IDs, which other commands require. <br>Accounts are created by a Global User or by SentinelOne. Each Account contains Sites, which can inherit assets and settings. Each Account has one or more SKUs, that you assign to the Sites. To have both Core and Complete Sites in an Account, the Account must have both SKUs."
"Accounts","Get Accounts","/accounts","GET",,,,"query","name","False","string",,,"0",,,,,"Name. Example: ""My Account"".",,"S1 MGMT API","2.1","2.0","Accounts","/web/api/v2.1/accounts","451",,"4520","Get the Accounts, and their data, that match the filter. This command gives the Account IDs, which other commands require. <br>Accounts are created by a Global User or by SentinelOne. Each Account contains Sites, which can inherit assets and settings. Each Account has one or more SKUs, that you assign to the Sites. To have both Core and Complete Sites in an Account, the Account must have both SKUs."
"Accounts","Get Accounts","/accounts","GET",,,,"query","activeLicenses","False","integer",,,"0",,,,,"Active licenses",,"S1 MGMT API","2.1","2.0","Accounts","/web/api/v2.1/accounts","451",,"4520","Get the Accounts, and their data, that match the filter. This command gives the Account IDs, which other commands require. <br>Accounts are created by a Global User or by SentinelOne. Each Account contains Sites, which can inherit assets and settings. Each Account has one or more SKUs, that you assign to the Sites. To have both Core and Complete Sites in an Account, the Account must have both SKUs."
"Accounts","Get Accounts","/accounts","GET",,,,"query","accountIds","False","string",,,"0",,,"100000000000000000",,"List of Account IDs to search for. Example: ""225494730938493804,225494730938493915"".","@{type=string; minimum=100000000000000000}","S1 MGMT API","2.1","2.0","Accounts","/web/api/v2.1/accounts","451",,"4520","Get the Accounts, and their data, that match the filter. This command gives the Account IDs, which other commands require. <br>Accounts are created by a Global User or by SentinelOne. Each Account contains Sites, which can inherit assets and settings. Each Account has one or more SKUs, that you assign to the Sites. To have both Core and Complete Sites in an Account, the Account must have both SKUs."
"Accounts","Get Accounts","/accounts","GET",,,,"query","sortBy","False","string",,"id,name,totalLicenses,expiration,accountType,state,createdAt,updatedAt,activeLicenses,activeAgents,numberOfSites,usageType,billingMode","13",,"True",,,"The column to sort the results by. Example: ""id"".",,"S1 MGMT API","2.1","2.0","Accounts","/web/api/v2.1/accounts","451",,"4520","Get the Accounts, and their data, that match the filter. This command gives the Account IDs, which other commands require. <br>Accounts are created by a Global User or by SentinelOne. Each Account contains Sites, which can inherit assets and settings. Each Account has one or more SKUs, that you assign to the Sites. To have both Core and Complete Sites in an Account, the Account must have both SKUs."
"Accounts","Get Accounts","/accounts","GET",,,,"query","states","False","string",,,"0",,,,,"Filter by state, such as active or expired.","@{type=string}","S1 MGMT API","2.1","2.0","Accounts","/web/api/v2.1/accounts","451",,"4520","Get the Accounts, and their data, that match the filter. This command gives the Account IDs, which other commands require. <br>Accounts are created by a Global User or by SentinelOne. Each Account contains Sites, which can inherit assets and settings. Each Account has one or more SKUs, that you assign to the Sites. To have both Core and Complete Sites in an Account, the Account must have both SKUs."
"Accounts","Get Accounts","/accounts","GET",,,,"query","ids","False","string",,,"0",,,"100000000000000000",,"A list of Account IDs. Example: ""225494730938493804,225494730938493915"".","@{type=string; minimum=100000000000000000}","S1 MGMT API","2.1","2.0","Accounts","/web/api/v2.1/accounts","451",,"4520","Get the Accounts, and their data, that match the filter. This command gives the Account IDs, which other commands require. <br>Accounts are created by a Global User or by SentinelOne. Each Account contains Sites, which can inherit assets and settings. Each Account has one or more SKUs, that you assign to the Sites. To have both Core and Complete Sites in an Account, the Account must have both SKUs."
"Accounts","Get Accounts","/accounts","GET",,,,"query","sortOrder","False","string",,"asc,desc","2",,"True",,,"Sort direction. Example: ""asc"".",,"S1 MGMT API","2.1","2.0","Accounts","/web/api/v2.1/accounts","451",,"4520","Get the Accounts, and their data, that match the filter. This command gives the Account IDs, which other commands require. <br>Accounts are created by a Global User or by SentinelOne. Each Account contains Sites, which can inherit assets and settings. Each Account has one or more SKUs, that you assign to the Sites. To have both Core and Complete Sites in an Account, the Account must have both SKUs."
"Accounts","Get Accounts","/accounts","GET",,,,"query","skipCount","False","boolean",,,"0",,"True",,,"If true, total number of items will not be calculated, which speeds up execution time.",,"S1 MGMT API","2.1","2.0","Accounts","/web/api/v2.1/accounts","451",,"4520","Get the Accounts, and their data, that match the filter. This command gives the Account IDs, which other commands require. <br>Accounts are created by a Global User or by SentinelOne. Each Account contains Sites, which can inherit assets and settings. Each Account has one or more SKUs, that you assign to the Sites. To have both Core and Complete Sites in an Account, the Account must have both SKUs."
"Accounts","Get Accounts","/accounts","GET",,,,"query","accountType","False","string",,"Trial,Paid","2",,,,,"Account type. Example: ""Trial"".",,"S1 MGMT API","2.1","2.0","Accounts","/web/api/v2.1/accounts","451",,"4520","Get the Accounts, and their data, that match the filter. This command gives the Account IDs, which other commands require. <br>Accounts are created by a Global User or by SentinelOne. Each Account contains Sites, which can inherit assets and settings. Each Account has one or more SKUs, that you assign to the Sites. To have both Core and Complete Sites in an Account, the Account must have both SKUs."
