Category,Sub-Category,EndpointUri,Method,Function,Complete,Notes
Accounts,Create Account,/accounts,POST,,NO,
Accounts,Expire an Account,/accounts/{account_id}/expire-now,POST,,NO,
Accounts,Export Accounts,/export/accounts,GET,Export-S1Accounts,YES,
Accounts,Generate/Regenerate Uninstall Password,/accounts/{account_id}/uninstall-password/generate,POST,,NO,
Accounts,Get Account by Id,/accounts/{account_id},GET,Get-S1Accounts,YES,
Accounts,Get Accounts,/accounts,GET,Get-S1Accounts,YES,
Accounts,Get Uninstall Password,/accounts/{account_id}/uninstall-password/view,GET,Get-S1AccountsUninstallPassword,YES,
Accounts,Get Uninstall Password Metadata,/accounts/{account_id}/uninstall-password/metadata,GET,Get-S1AccountsUninstallPassword,YES,
Accounts,Reactivate Account,/accounts/{account_id}/reactivate,PUT,,NO,
Accounts,Revert Policy,/accounts/{account_id}/revert-policy,PUT,,NO,
Accounts,Revoke Uninstall Password,/accounts/{account_id}/uninstall-password/revoke,POST,,NO,
Accounts,Update Account,/accounts/{account_id},PUT,,NO,
Activities,Export Activites,/export/activities,GET,Export-S1Activities,YES,
Activities,Get Activites,/activities,GET,Get-S1Activities,YES,
Activities,Get Activites by Types,/activities/types,GET,Get-S1Activities,YES,typesOnly parameter calls this Uri
Activities,Last Activity as Syslog message,/last-activity-as-syslog,GET,Get-S1ActivitiesAsSyslog,Kinda,Cannot fully validate as syslog is not enabled on any sites
AgentActions,Abort Scan,/agents/actions/abort-scan,POST,,NO,
AgentActions,Approve Stateless Upgrades,/agents/actions/approve-stateless-upgrade,POST,,NO,
AgentActions,Approve Uninstall,/agents/actions/approve-uninstall,POST,,NO,
AgentActions,Broadcast Message,/agents/actions/broadcast,POST,,NO,
AgentActions,Can Run Remote Shell,/agents/actions/can-start-remote-shell,POST,,NO,
AgentActions,Connect To Network,/agents/actions/connect,POST,,NO,
AgentActions,Decommission,/agents/actions/decommission,POST,,NO,
AgentActions,Disable Agent,/agents/actions/disable-agent,POST,,NO,
AgentActions,Disable Ranger,/agents/actions/ranger-disable,POST,,NO,
AgentActions,Disconnect From Network,/agents/actions/disconnect,POST,,NO,
AgentActions,Enable Agent,/agents/actions/enable-agent,POST,,NO,
AgentActions,Enable Ranger,/agents/actions/ranger-enable,POST,,NO,
AgentActions,Fetch Files,/agents/{agent_id}/actions/fetch-files,POST,,NO,
AgentActions,Fetch Firewall Logs,/agents/actions/firewall-logging,POST,,NO,
AgentActions,Fetch Firewall Rules,/agents/actions/fetch-firewall-rules,POST,,NO,
AgentActions,Fetch Logs,/agents/actions/fetch-logs,POST,,NO,
AgentActions,Get Applications,/agents/actions/fetch-installed-apps,POST,,NO,
AgentActions,Initiate Scan,/agents/actions/initiate-scan,POST,,NO,
AgentActions,"Manage Endpoint Tags: Add, Remove, Override",/agents/actions/manage-tags,POST,,NO,
AgentActions,Mark As Up-to-date,/agents/actions/mark-up-to-date,POST,,NO,
AgentActions,Move Between Sites,/agents/actions/move-to-site,POST,,NO,
AgentActions,Move To Console,/agents/actions/move-to-console,POST,,NO,
AgentActions,Randomize Uuid,/agents/actions/randomize-uuid,POST,,NO,
AgentActions,Reject Uninstall,/agents/actions/reject-uninstall,POST,,NO,
AgentActions,Reset Local Config,/agents/actions/reset-local-config,POST,,NO,
AgentActions,Restart,/agents/actions/restart-machine,POST,,NO,
AgentActions,Set External Id,/agents/actions/set-external-id,POST,,NO,
AgentActions,Set Persistent Configuration Overrides,/agents/actions/set-config,POST,,NO,
AgentActions,Shutdown,/agents/actions/shutdown,POST,,NO,
AgentActions,Start Remote Profiling,/agents/actions/start-profiling,POST,,NO,
AgentActions,Start Remote Shell,/agents/actions/start-remote-shell,POST,,NO,
AgentActions,Stop Remote Profiling,/agents/actions/stop-profiling,POST,,NO,
AgentActions,Terminate Remote Shell,/agents/actions/terminate-remote-shell,POST,,NO,
AgentActions,Uninstall,/agents/actions/uninstall,POST,,NO,
AgentActions,Update Software,/agents/actions/update-software,POST,,NO,
AgentContentUpdates,Change Content Updates Policy,/atlas-agents-control/hotfix-policy/policy,PUT,,NO,
AgentContentUpdates,Get Agent Merged Updates,/content-updates-inventory,GET,Get-S1AgentContentUpdates,Kinda,Cannot fully validate as agentId with any known id
AgentContentUpdates,Get Content Updates Types,/atlas-agents-control/hotfix-policy/asset-family-types,GET,Get-S1AgentContentUpdates,Kinda,Cannot fully validate due to permissions
AgentContentUpdates,Get Existing Content Updates Policy,/atlas-agents-control/hotfix-policy/policy,GET,Get-S1AgentContentUpdates,Kinda,Cannot fully validate due to permissions
Agents,Applications,/agents/applications,GET,Get-S1AgentApplications,YES,
Agents,Count Agents,/agents/count,GET,Get-S1Agents,YES,Lots of parameters that are not 100% verifyied
Agents,Export Agent Logs,/agents/{agent_id}/uploads/{activity_id},GET,Export-S1AgentLogs,YES,
Agents,Export Agents,/export/agents,GET,Export-S1Agents,YES,Lots of parameters that are not 100% verifyied
Agents,Export Agents - Light,/export/agents-light,GET,Export-S1Agents,YES,Lots of parameters that are not 100% verifyied
Agents,Get Agents,/agents,GET,Get-S1Agents,YES,Lots of parameters that are not 100% verifyied
Agents,Get Passphrase,/agents/passphrases,GET,Get-S1AgentPassphrases,YES,Lots of parameters that are not 100% verifyied
Agents,Get The Endpoint Tags That Match The Filters.,/agents/tags,GET,Get-S1AgentTags,YES,
Agents,Processes,/agents/processes,GET,Deprecated,N\A,Deprecated
AgentSupportActivities,Clear Remote Shell,/agents/actions/clear-remote-shell-session,POST,,NO,
Alerts,Get Alerts,/cloud-detection/alerts,GET,Get-S1Alerts,Kinda,Cannot fully validate due to permissions
Alerts,Update Alert Analyst Verdict,/cloud-detection/alerts/analyst-verdict,POST,,NO,
Alerts,Updated Threat Incident,/cloud-detection/alerts/incident,POST,,NO,
